资产,价格,倍数,金额,日期
2026-02-23,日经225,56825.7,67.3,25.9,88.9852,True,0.4,12.0,54518.07,"{""macro"": -0.044, ""ma"": -0.18, ""rsi"": -0.15, ""adx"": 0.05, ""macd"": 0.0, ""atr"": -0.279, ""vix"": 0.0}",🟡 RSI=67.3 偏高; ✅ ADX=25.9 强上行趋势; 📊 ATR 波动比=1.63x (极端)，头寸缩减系数=0.61; 💵 美元偏强，非美资产(JPY)减权 w_macro=0.9
2026-02-23,德国DAX,25136.6,58.1,14.1,31.7132,False,0.83,24.9,24581.7,"{""macro"": -0.093, ""ma"": -0.075, ""rsi"": 0.0, ""adx"": 0.0, ""macd"": 0.0, ""atr"": 0.0, ""vix"": 0.0}",💵 美元偏强，非美资产(EUR)减权 w_macro=0.9
2026-02-23,恒生指数,27081.91,39.3,15.0,-64.1498,False,0.83,41.5,26060.74,"{""macro"": -0.093, ""ma"": -0.075, ""rsi"": 0.0, ""adx"": 0.0, ""macd"": 0.0, ""atr"": 0.0, ""vix"": 0.0}",💵 美元偏强，非美资产(HKD)减权 w_macro=0.9
2026-02-23,黄金,5146.1,69.7,20.3,-7.2605,True,0.3,3.0,4829.03,"{""macro"": 0.0, ""ma"": -0.18, ""rsi"": -0.15, ""adx"": 0.0, ""macd"": 0.0, ""atr"": -0.382, ""vix"": 0.0}",🟡 RSI=69.7 偏高; 📊 ATR 波动比=2.33x (极端)，头寸缩减系数=0.43
2026-02-23,标普500,6909.51,47.7,13.8,-5.7022,True,0.7,70.0,6726.4,"{""macro"": 0.0, ""ma"": 0.025, ""rsi"": 0.0, ""adx"": 0.0, ""macd"": 0.0, ""atr"": 0.0, ""vix"": 0.0}","📉 价格低于 MA20 (0.0%); 🟢 MACD 柱状图缩短，动量衰减确认; 🔗 相关性熔断: 标普500↔纳斯达克 (corr=0.98) — m: 1.03→0.7, 1.24→1.69"
2026-02-23,纳斯达克,22886.07,40.6,21.1,-36.0519,True,1.69,84.5,22036.33,"{""macro"": 0.0, ""ma"": 0.38, ""rsi"": 0.0, ""adx"": 0.0, ""macd"": 0.0, ""atr"": -0.138, ""vix"": 0.0}","📉 价格低于 MA20 (1.1%); 📉 价格低于 MA60 (1.8%); 📉 价格低于 MA120 (0.5%); 🟢 MACD 柱状图缩短，动量衰减确认; 📊 ATR 波动比=1.23x (偏高)，头寸轻度缩减; 🔗 相关性熔断: 标普500↔纳斯达克 (corr=0.98) — m: 1.03→0.7, 1.24→1.69"
2026-02-23,日经225,56825.7,67.3,25.9,88.9852,True,0.4,12.0,54518.07,"{""macro"": -0.044, ""ma"": -0.18, ""rsi"": -0.15, ""adx"": 0.05, ""macd"": 0.0, ""atr"": -0.279, ""vix"": 0.0}",🟡 RSI=67.3 偏高; ✅ ADX=25.9 强上行趋势; 📊 ATR 波动比=1.63x (极端)，头寸缩减系数=0.61; 💵 美元偏强，非美资产(JPY)减权 w_macro=0.9
2026-02-23,德国DAX,25123.64,57.7,14.1,30.8861,False,0.83,24.9,24568.74,"{""macro"": -0.093, ""ma"": -0.075, ""rsi"": 0.0, ""adx"": 0.0, ""macd"": 0.0, ""atr"": 0.0, ""vix"": 0.0}",💵 美元偏强，非美资产(EUR)减权 w_macro=0.9
2026-02-23,恒生指数,27081.91,39.3,15.0,-64.1498,False,0.83,41.5,26060.74,"{""macro"": -0.093, ""ma"": -0.075, ""rsi"": 0.0, ""adx"": 0.0, ""macd"": 0.0, ""atr"": 0.0, ""vix"": 0.0}",💵 美元偏强，非美资产(HKD)减权 w_macro=0.9
2026-02-23,黄金,5154.6,69.9,20.3,-6.7181,True,0.3,3.0,4837.53,"{""macro"": 0.0, ""ma"": -0.18, ""rsi"": -0.15, ""adx"": 0.0, ""macd"": 0.0, ""atr"": -0.382, ""vix"": 0.0}",🟡 RSI=69.9 偏高; 📊 ATR 波动比=2.33x (极端)，头寸缩减系数=0.43
2026-02-23,标普500,6909.51,47.7,13.8,-5.7022,True,0.7,70.0,6726.4,"{""macro"": 0.0, ""ma"": 0.025, ""rsi"": 0.0, ""adx"": 0.0, ""macd"": 0.0, ""atr"": 0.0, ""vix"": 0.0}","📉 价格低于 MA20 (0.0%); 🟢 MACD 柱状图缩短，动量衰减确认; 🔗 相关性熔断: 标普500↔纳斯达克 (corr=0.98) — m: 1.03→0.7, 1.24→1.69"
