,QQQ_策略,QQQ_等额定投,SPY_策略,SPY_等额定投
2025-10-21,1993.1368826486919,2645.752410816526,1996.1949335042293,2587.3573518213934
2025-10-22,1973.9350338534082,2620.2632744784623,1985.8169510861915,2573.90598559673
2025-10-23,2076.528899491433,2742.2904921767404,2083.59277825328,2689.16916079228
2025-10-24,2098.7025904181046,2771.5733506139954,2100.6210386772655,2711.1465228142915
2025-10-27,2136.0789304785003,2820.933020977885,2125.403467978911,2743.1317289942485
2025-10-28,2152.505149172006,2842.625694437257,2131.0485424151534,2750.417490512891
2025-10-29,2162.1978901980674,2855.4260515935716,2132.0721405546637,2751.7385876958656
2025-10-30,2186.1409356636414,2911.7706167271094,2169.6233698195033,2821.474655233811
2025-10-31,2196.6866490322654,2925.8166911673493,2176.740300576108,2830.7298282892543
2025-11-03,2207.1973636759335,2939.8161500132833,2180.8253707707495,2836.0422351241746
2025-11-04,2162.395581221758,2880.1436414394175,2154.9747496251266,2802.424938500709
2025-11-05,2176.468269757196,2898.8873739716487,2162.4427502592903,2812.136658427618
2025-11-06,2232.926515032187,2944.8888927973308,2236.2410753962668,2881.9641692778337
2025-11-07,2225.880843766468,2935.5967289428395,2238.442802193405,2884.801653040074
2025-11-10,2275.126697048815,3000.544484890562,2273.372265552591,2929.817131451962
2025-11-11,2269.066897709989,2992.552535471111,2278.5764770331107,2936.524078740077
2025-11-12,2267.2780945622567,2990.193377439848,2279.8442926306097,2938.1579809009145
2025-11-13,2317.989410863745,3029.145676331784,2339.0124137959638,2989.402003534481
2025-11-14,2319.741780309478,3031.4356705418527,2338.6297607027395,2988.9129493008245
2025-11-17,2299.9299467951173,3005.545591170063,2316.841970825634,2961.066811192688
2025-11-18,2271.926729132353,2968.951021191017,2297.3863194554497,2936.2012898115045
2025-11-19,2285.490245602302,2986.675807628023,2306.261484962879,2947.5442982509303
2025-11-20,2338.388458438625,3015.9756595166446,2378.108747488416,3002.6169335152563
2025-11-21,2355.956256678913,3038.6340213866765,2401.797575653817,3032.5266155933728
2025-11-24,2416.2055791548355,3116.3415936396977,2437.1485480952556,3077.161003562803
